date,deltaConfirmed,deltaDeceased,deltaRecovered,deltaVaccinated,delta7Confirmed,delta7Deceased,delta7Recovered,delta7Vaccinated,totalConfirmed,totalDeceased,totalRecovered,totalVaccinated,weekday,variantsOfConcernReported
2020-03-02,1.0,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0,1.0
2020-03-03,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,1,7.0
2020-03-04,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,2,0.0
2020-03-05,1.0,0.0,0.0,0.0,2,0.0,0.0,0.0,2,0.0,0.0,0.0,3,0.0
2020-03-06,1.0,0.0,0.0,0.0,3,0.0,0.0,0.0,3,0.0,0.0,0.0,4,0.0
2020-03-07,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,3,0.0,0.0,0.0,5,1.0
2020-03-08,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,3,0.0,0.0,0.0,6,0.0
2020-03-09,1.0,0.0,0.0,0.0,3,0.0,0.0,0.0,4,0.0,0.0,0.0,0,1.0
2020-03-10,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,4,0.0,0.0,0.0,1,13.0
2020-03-11,1.0,0.0,0.0,0.0,4,0.0,0.0,0.0,5,0.0,0.0,0.0,2,2.0
2020-03-12,1.0,0.0,0.0,0.0,4,0.0,0.0,0.0,6,0.0,0.0,0.0,3,7.0
2020-03-13,1.0,0.0,0.0,0.0,4,0.0,0.0,0.0,7,0.0,0.0,0.0,4,3.0
2020-03-14,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,7,0.0,0.0,0.0,5,0.0
2020-03-15,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,7,0.0,0.0,0.0,6,4.0
2020-03-16,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,7,0.0,0.0,0.0,0,5.0
2020-03-17,3.0,0.0,0.0,0.0,6,0.0,0.0,0.0,10,0.0,0.0,0.0,1,8.0
2020-03-18,1.0,0.0,0.0,0.0,6,0.0,0.0,0.0,11,0.0,0.0,0.0,2,9.0
2020-03-19,3.0,0.0,0.0,0.0,8,0.0,0.0,0.0,14,0.0,0.0,0.0,3,5.0
2020-03-20,6.0,0.0,0.0,0.0,13,0.0,0.0,0.0,20,0.0,0.0,0.0,4,1.0
2020-03-21,7.0,0.0,0.0,0.0,20,0.0,0.0,0.0,27,0.0,0.0,0.0,5,3.0
2020-03-22,1.0,0.0,0.0,0.0,21,0.0,0.0,0.0,28,0.0,0.0,0.0,6,3.0
2020-03-23,2.0,0.0,0.0,0.0,23,0.0,0.0,0.0,30,0.0,0.0,0.0,0,3.0
2020-03-24,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,30,0.0,0.0,0.0,1,3.0
2020-03-25,5.0,0.0,0.0,0.0,24,0.0,0.0,0.0,35,0.0,0.0,0.0,2,5.0
2020-03-26,4.0,0.0,0.0,0.0,25,0.0,0.0,0.0,39,0.0,0.0,0.0,3,10.0
2020-03-27,1.0,0.0,0.0,0.0,20,0.0,0.0,0.0,40,0.0,0.0,0.0,4,2.0
2020-03-28,9.0,0.0,0.0,0.0,22,0.0,0.0,0.0,49,0.0,0.0,0.0,5,11.0
2020-03-29,23.0,2.0,6.0,0.0,44,2.0,6.0,0.0,72,2.0,6.0,0.0,6,23.0
2020-03-30,25.0,0.0,0.0,0.0,67,2.0,6.0,0.0,97,2.0,6.0,0.0,0,13.0
2020-03-31,23.0,0.0,0.0,0.0,90,2.0,6.0,0.0,120,2.0,6.0,0.0,1,28.0
2020-04-01,32.0,0.0,0.0,0.0,117,2.0,6.0,0.0,152,2.0,6.0,0.0,2,30.0
2020-04-02,141.0,2.0,2.0,0.0,254,4.0,8.0,0.0,293,4.0,8.0,0.0,3,25.0
2020-04-03,93.0,2.0,0.0,0.0,346,6.0,8.0,0.0,386,6.0,8.0,0.0,4,9.0
