date,deltaConfirmed,deltaDeceased,deltaRecovered,deltaVaccinated,delta7Confirmed,delta7Deceased,delta7Recovered,delta7Vaccinated,totalConfirmed,totalDeceased,totalRecovered,totalVaccinated,weekday,variantsOfConcernReported
2020-03-02,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.005154639175257732
2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.16666666666666666,0.03608247422680412
2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.0
2020-03-05,1.0,0.0,0.0,0.0,5.647962497529017e-06,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.5,0.0
2020-03-06,1.0,0.0,0.0,0.0,1.1295924995058033e-05,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.6666666666666666,0.0
2020-03-07,0.0,0.0,0.0,0.0,1.1295924995058033e-05,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.8333333333333333,0.005154639175257732
2020-03-08,0.0,0.0,0.0,0.0,1.1295924995058033e-05,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0
2020-03-09,1.0,0.0,0.0,0.0,1.1295924995058033e-05,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.005154639175257732
2020-03-10,0.0,0.0,0.0,0.0,1.1295924995058033e-05,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.16666666666666666,0.06701030927835051
2020-03-11,1.0,0.0,0.0,0.0,1.694388749258705e-05,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.3333333333333333,0.010309278350515464
2020-03-12,1.0,0.0,0.0,0.0,1.694388749258705e-05,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.5,0.03608247422680412
2020-03-13,1.0,0.0,0.0,0.0,1.694388749258705e-05,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.6666666666666666,0.015463917525773196
2020-03-14,0.0,0.0,0.0,0.0,1.694388749258705e-05,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.8333333333333333,0.0
2020-03-15,0.0,0.0,0.0,0.0,1.694388749258705e-05,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,0.020618556701030927
2020-03-16,0.0,0.0,0.0,0.0,1.1295924995058033e-05,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.02577319587628866
2020-03-17,3.0,0.0,0.0,0.0,2.8239812487645084e-05,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.16666666666666666,0.041237113402061855
2020-03-18,1.0,0.0,0.0,0.0,2.8239812487645084e-05,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.3333333333333333,0.04639175257731959
2020-03-19,3.0,0.0,0.0,0.0,3.9535737482703114e-05,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.5,0.02577319587628866
2020-03-20,6.0,0.0,0.0,0.0,6.77755499703482e-05,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.6666666666666666,0.005154639175257732
2020-03-21,7.0,0.0,0.0,0.0,0.00010731128745305131,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.8333333333333333,0.015463917525773196
