date,actualCovidCases,predictedCovidCases
2020-03-13,0.0,-7.479567259550095
2020-03-14,0.0,-13.4248366355896
2020-03-15,0.0,-21.50972878932953
2020-03-16,0.0,-9.577011168003082
2020-03-17,0.0,-12.031688511371613
2020-03-18,0.0,-16.485544621944427
2020-03-19,0.0,-12.043229579925537
2020-03-20,0.0,-6.573593378067017
2020-03-21,0.0,-13.863085880875587
2020-03-22,0.0,-20.46987020969391
2020-03-23,0.0,-9.19833542406559
2020-03-24,0.0,-13.229385733604431
2020-03-25,0.0,-16.074072316288948
2020-03-26,0.0,-13.39112675189972
2020-03-27,0.0,-7.17671799659729
2020-03-28,0.0,-14.104306668043137
2020-03-29,2.0,-20.376586824655533
2020-03-30,2.0,-6.058853417634964
2020-03-31,2.0,-9.385607942938805
2020-04-01,2.0,-9.47683635354042
2020-04-02,4.0,-3.416945070028305
2020-04-03,6.0,1.331727221608162
2020-04-04,6.0,-5.041080623865128
2020-04-05,5.0,-11.1439810693264
2020-04-06,5.0,-1.011213481426239
2020-04-07,7.0,-3.7833117246627808
2020-04-08,7.0,-5.685283973813057
2020-04-09,8.0,-1.8145216703414917
2020-04-10,8.0,3.6285866796970367
2020-04-11,13.0,-3.4918374717235565
2020-04-12,17.0,-11.600268423557281
2020-04-13,21.0,0.23594842851161957
2020-04-14,21.0,0.35127608478069305
2020-04-15,23.0,-0.69408318400383
2020-04-16,26.0,5.677105590701103
2020-04-17,28.0,14.477730810642242
2020-04-18,24.0,7.971847802400589
2020-04-19,21.0,0.7514979243278503
2020-04-20,19.0,13.91489614546299
2020-04-21,17.0,10.48182263970375
2020-04-22,16.0,7.348277226090431
2020-04-23,12.0,10.949941664934158
2020-04-24,11.0,15.634909749031067
2020-04-25,11.0,6.390576109290123
2020-04-26,9.0,-4.483933463692665
2020-04-27,7.0,8.562268942594528
2020-04-28,7.0,5.451099917292595
2020-04-29,8.0,3.87819342315197
2020-04-30,9.0,10.006064921617508
2020-05-01,8.0,14.742386609315872
2020-05-02,10.0,6.728692054748535
2020-05-03,10.0,1.8068414628505707
2020-05-04,10.0,15.036683857440948
2020-05-05,10.0,13.432122454047203
2020-05-06,9.0,16.75933364033699
2020-05-07,7.0,16.197972744703293
2020-05-08,7.0,24.333720326423645
2020-05-09,4.0,11.85566645860672
2020-05-10,9.0,5.78807421028614
2020-05-11,9.0,16.21980944275856
2020-05-12,22.0,14.60787919163704
2020-05-13,41.0,16.103381648659706
2020-05-14,49.0,24.087870657444
2020-05-15,55.0,33.26399575173855
2020-05-16,61.0,33.14754720032215
2020-05-17,75.0,30.215908214449883
2020-05-18,87.0,47.86861604452133
2020-05-19,80.0,57.50875021517277
2020-05-20,70.0,66.03916705399752
2020-05-21,79.0,72.68547331541777
2020-05-22,85.0,88.11823792755604
2020-05-23,102.0,81.30227173119783
2020-05-24,113.00000000000001,73.56969352811575
2020-05-25,116.0,93.57946741580963
2020-05-26,122.0,101.09064806997776
2020-05-27,127.00000000000001,107.53816150128841
2020-05-28,122.0,122.17329505085945
2020-05-29,190.00000000000003,132.46556186676025
2020-05-30,185.0,130.2035954594612
2020-05-31,212.0,123.55447658151388
2020-06-01,247.0,145.15536113083363
2020-06-02,268.0,144.49141757190228
2020-06-03,312.0,158.5730987638235
2020-06-04,343.0,178.12325374782085
2020-06-05,310.0,203.50499027967453
2020-06-06,345.0,220.70558297634125
2020-06-07,339.0,226.65091462433338
2020-06-08,351.0,252.7049806714058
2020-06-09,349.0,259.7615968286991
2020-06-10,369.00000000000006,263.2417271733284
2020-06-11,426.0,267.4772993326187
2020-06-12,506.00000000000006,292.9914467930794
2020-06-13,510.0,308.36707688868046
2020-06-14,515.0,322.99118830263615
2020-06-15,526.0,359.9666754603386
2020-06-16,932.0000000000001,380.03103071451187
2020-06-17,920.0000000000001,422.7741668820381
2020-06-18,884.0,488.28442710638046
2020-06-19,821.0000000000001,569.849351555109
2020-06-20,841.0,611.9303708076477
2020-06-21,848.0,654.7387264668941
2020-06-22,833.0,709.027290225029
2020-06-23,464.0,697.7720084190369
2020-06-24,461.0,665.4982820153236
